Designator,MPN,QTY,Link,,,,,,,,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MPN,OC_FARNELL,OC_NEWARK,PROD_ID,SPICEPREFIX,VALUE
LED3-1-8,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-1-9,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-1-10,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-1-11,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-1-12,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-1-13,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-1-14,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-1-15,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-1-16,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-1-17,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-2-1,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
